Rate,Rate,Rate,density,recip,jumpXTransTrip
3.3489415689688604,2.495450715859954,2.220140255476536,-4.9983748072404275,5.001206341725846,0.19332084865890156
3.343632937826642,2.467011845768368,2.211828824855882,-4.968435059799596,4.941962308187628,-1.7793051393168773
3.347908423929838,2.474604160866321,2.227075474463111,-4.98574307774193,4.962855476768,-1.8761397006342269
3.3885771649093037,2.51877572718701,2.258486913574608,-5.056560757111302,5.0737231448761895,-0.35720186791818054
3.350729716801151,2.479030139649653,2.2273016796441834,-5.0064612940416575,5.002303012190676,-0.1340078467680919
3.345029289511767,2.5035163522418573,2.2459906880382152,-5.028632220644202,5.0271375363719235,-0.1581176736347547
3.334514336590517,2.4796727846953996,2.221604724362601,-4.992558242838792,4.962382873798827,-1.9883651112778733
3.335119715099191,2.4622686481980858,2.180436198931512,-4.934856375421446,4.878893225522704,-1.7870584042597335
3.3398717012343258,2.468721643182536,2.212672329778378,-4.9741532355887035,4.933479884307968,-2.4440335546883123
3.3923061429116435,2.5316375096160026,2.269658297957292,-5.068272037992818,5.060524409207544,-1.235701013697572
3.324311766653543,2.4774807336452103,2.207447100388373,-4.971256013516983,4.932149204712414,-0.33738009775798333
