source,gsw,nfw,raw,target,born,icpsr,n_au,n_bills,n_co,nyears,party,sex,state,thomas,senate
John F. Reed,0.4858680434021701,8.813492063492063,14,Sheldon Whitehouse,1949,29142,36,206,170,12,DEM,M,RI,00949,111
John F. Reed,1,0.04020296643247463,2,Hillary Rodham Clinton,1949,29142,36,206,170,12,DEM,M,RI,00949,111
John Forbes Kerry,1,0.04020296643247463,2,Hillary Rodham Clinton,1943,14920,97,516,419,24,DEM,M,MA,01379,111
John Forbes Kerry,0.3676695154061833,0.8524644945697577,8,Edward M. Kennedy,1943,14920,97,516,419,24,DEM,M,MA,01379,111
John Forbes Kerry,0.5067551185416762,4.608109945609946,13,Richard G. Lugar,1943,14920,97,516,419,24,DEM,M,MA,01379,111
John H. Isakson,0.4077669902912621,0.01639344262295082,1,Hillary Rodham Clinton,1944,29909,17,277,260,0,REP,M,GA,01608,111
John H. Isakson,0.7254970966039064,3.964423076923077,9,Saxby Chambliss,1944,29909,17,277,260,0,REP,M,GA,01608,111
John H. Isakson,0.3526170798898072,1.0666666666666667,2,George S. LeMieux,1944,29909,17,277,260,0,REP,M,GA,01608,111
John S. McCain,0.4701492537313433,2,2,Jon Kyl,1936,15039,23,158,135,18,REP,M,AZ,00754,111
John Thune,0.3451094120748747,0.8657407407407407,6,Thomas A. Coburn,1961,29754,18,199,181,0,REP,M,SD,01534,111
John Thune,0.3755721236839874,3.477777777777778,6,Tim P. Johnson,1961,29754,18,199,181,0,REP,M,SD,01534,111
Jon Kyl,0.5628202658447312,7.904761904761905,11,John S. McCain,1942,15429,6,119,113,12,REP,M,AZ,00655,111
Jon Tester,0.6011838922970344,12.020049847896148,24,Max S. Baucus,1956,40702,21,246,225,0,DEM,M,MT,01829,111
Joseph I. Lieberman,0.4077669902912621,0.01639344262295082,1,Hillary Rodham Clinton,1942,15704,48,371,323,18,IND,M,CT,01385,111
Joseph I. Lieberman,0.4013433192855926,11.862232126052001,24,Christopher J. Dodd,1942,15704,48,371,323,18,IND,M,CT,01385,111
